name,unit,update_frequency,meter_category_id,image_file_id,demo,location_id,asset_id
Gateway Packet Count - HCM-35,Packets/min,10,,,FALSE,871,871
Wireless Client Count - HCM-35,Clients,5,,,FALSE,872,872
AP Channel Utilization - HCM-35,%,5,,,FALSE,873,873
GPU Usage - HCM-35,%,1,,,FALSE,874,874
Packet Capture Buffer Usage - HCM-35,%,10,,,FALSE,875,875
Monitoring Appliance CPU Usage - HCM-36,%,5,,,FALSE,876,876
Router CPU Usage - HCM-36,%,3,,,FALSE,877,877
VMS Storage Utilization - HCM-36,%,10,,,FALSE,878,878
Server Temperature - HCM-36,Celsius,7,,,FALSE,879,879
Storage Latency - HCM-36,ms,5,,,FALSE,880,880
Switch Port Error Rate - HCM-36,Errors/sec,2,,,FALSE,881,881
Access Control Events - HCM-36,Events/day,2,,,FALSE,882,882
Video Recorder Disk Health - HCM-36,%,15,,,FALSE,883,883
UPS Battery Charge - HCM-36,%,5,,,FALSE,884,884
ATS Transfer Count - HCM-36,Transfers/month,30,,,FALSE,885,885
Cooling Supply Air Temperature - HCM-36,Celsius,10,,,FALSE,886,886
Generator Fuel Level - HCM-36,%,30,,,FALSE,887,887
Visitor Kiosk Uptime - HCM-36,Hours,15,,,FALSE,888,888
Camera Uptime - HCM-36,Hours,10,,,FALSE,889,889
Backhaul Signal Strength - HCM-36,dBm,2,,,FALSE,890,890
Optical Link Loss - HCM-36,dB,15,,,FALSE,891,891
Edge Switch Utilization - HCM-36,%,3,,,FALSE,892,892
5G Sector Throughput - HCM-36,Mbps,2,,,FALSE,893,893
Baseband CPU Load - HCM-36,%,2,,,FALSE,894,894
RRU VSWR - HCM-36,ratio,5,,,FALSE,895,895
Gateway Packet Count - HCM-36,Packets/min,10,,,FALSE,896,896
Wireless Client Count - HCM-36,Clients,5,,,FALSE,897,897
AP Channel Utilization - HCM-36,%,5,,,FALSE,898,898
GPU Usage - HCM-36,%,1,,,FALSE,899,899
Packet Capture Buffer Usage - HCM-36,%,10,,,FALSE,900,900
Monitoring Appliance CPU Usage - DN-37,%,5,,,FALSE,901,901
Router CPU Usage - DN-37,%,3,,,FALSE,902,902
VMS Storage Utilization - DN-37,%,10,,,FALSE,903,903
Server Temperature - DN-37,Celsius,7,,,FALSE,904,904
Storage Latency - DN-37,ms,5,,,FALSE,905,905
Switch Port Error Rate - DN-37,Errors/sec,2,,,FALSE,906,906
Access Control Events - DN-37,Events/day,2,,,FALSE,907,907
Video Recorder Disk Health - DN-37,%,15,,,FALSE,908,908
UPS Battery Charge - DN-37,%,5,,,FALSE,909,909
ATS Transfer Count - DN-37,Transfers/month,30,,,FALSE,910,910
Cooling Supply Air Temperature - DN-37,Celsius,10,,,FALSE,911,911
Generator Fuel Level - DN-37,%,30,,,FALSE,912,912
Visitor Kiosk Uptime - DN-37,Hours,15,,,FALSE,913,913
Camera Uptime - DN-37,Hours,10,,,FALSE,914,914
Backhaul Signal Strength - DN-37,dBm,2,,,FALSE,915,915
Optical Link Loss - DN-37,dB,15,,,FALSE,916,916
Edge Switch Utilization - DN-37,%,3,,,FALSE,917,917
5G Sector Throughput - DN-37,Mbps,2,,,FALSE,918,918
Baseband CPU Load - DN-37,%,2,,,FALSE,919,919
RRU VSWR - DN-37,ratio,5,,,FALSE,920,920
Gateway Packet Count - DN-37,Packets/min,10,,,FALSE,921,921
Wireless Client Count - DN-37,Clients,5,,,FALSE,922,922
AP Channel Utilization - DN-37,%,5,,,FALSE,923,923
GPU Usage - DN-37,%,1,,,FALSE,924,924
Packet Capture Buffer Usage - DN-37,%,10,,,FALSE,925,925
Monitoring Appliance CPU Usage - HP-38,%,5,,,FALSE,926,926
Router CPU Usage - HP-38,%,3,,,FALSE,927,927
VMS Storage Utilization - HP-38,%,10,,,FALSE,928,928
Server Temperature - HP-38,Celsius,7,,,FALSE,929,929
Storage Latency - HP-38,ms,5,,,FALSE,930,930
Switch Port Error Rate - HP-38,Errors/sec,2,,,FALSE,931,931
Access Control Events - HP-38,Events/day,2,,,FALSE,932,932
Video Recorder Disk Health - HP-38,%,15,,,FALSE,933,933
UPS Battery Charge - HP-38,%,5,,,FALSE,934,934
ATS Transfer Count - HP-38,Transfers/month,30,,,FALSE,935,935
Cooling Supply Air Temperature - HP-38,Celsius,10,,,FALSE,936,936
Generator Fuel Level - HP-38,%,30,,,FALSE,937,937
Visitor Kiosk Uptime - HP-38,Hours,15,,,FALSE,938,938
Camera Uptime - HP-38,Hours,10,,,FALSE,939,939
Backhaul Signal Strength - HP-38,dBm,2,,,FALSE,940,940
Optical Link Loss - HP-38,dB,15,,,FALSE,941,941
Edge Switch Utilization - HP-38,%,3,,,FALSE,942,942
5G Sector Throughput - HP-38,Mbps,2,,,FALSE,943,943
Baseband CPU Load - HP-38,%,2,,,FALSE,944,944
RRU VSWR - HP-38,ratio,5,,,FALSE,945,945
Gateway Packet Count - HP-38,Packets/min,10,,,FALSE,946,946
Wireless Client Count - HP-38,Clients,5,,,FALSE,947,947
AP Channel Utilization - HP-38,%,5,,,FALSE,948,948
GPU Usage - HP-38,%,1,,,FALSE,949,949
Packet Capture Buffer Usage - HP-38,%,10,,,FALSE,950,950
Monitoring Appliance CPU Usage - CT-39,%,5,,,FALSE,951,951
Router CPU Usage - CT-39,%,3,,,FALSE,952,952
VMS Storage Utilization - CT-39,%,10,,,FALSE,953,953
Server Temperature - CT-39,Celsius,7,,,FALSE,954,954
Storage Latency - CT-39,ms,5,,,FALSE,955,955
Switch Port Error Rate - CT-39,Errors/sec,2,,,FALSE,956,956
Access Control Events - CT-39,Events/day,2,,,FALSE,957,957
Video Recorder Disk Health - CT-39,%,15,,,FALSE,958,958
UPS Battery Charge - CT-39,%,5,,,FALSE,959,959
ATS Transfer Count - CT-39,Transfers/month,30,,,FALSE,960,960
Cooling Supply Air Temperature - CT-39,Celsius,10,,,FALSE,961,961
Generator Fuel Level - CT-39,%,30,,,FALSE,962,962
Visitor Kiosk Uptime - CT-39,Hours,15,,,FALSE,963,963
Camera Uptime - CT-39,Hours,10,,,FALSE,964,964
Backhaul Signal Strength - CT-39,dBm,2,,,FALSE,965,965
Optical Link Loss - CT-39,dB,15,,,FALSE,966,966
Edge Switch Utilization - CT-39,%,3,,,FALSE,967,967
5G Sector Throughput - CT-39,Mbps,2,,,FALSE,968,968
Baseband CPU Load - CT-39,%,2,,,FALSE,969,969
RRU VSWR - CT-39,ratio,5,,,FALSE,970,970
Gateway Packet Count - CT-39,Packets/min,10,,,FALSE,971,971
Wireless Client Count - CT-39,Clients,5,,,FALSE,972,972
AP Channel Utilization - CT-39,%,5,,,FALSE,973,973
GPU Usage - CT-39,%,1,,,FALSE,974,974
Packet Capture Buffer Usage - CT-39,%,10,,,FALSE,975,975
Monitoring Appliance CPU Usage - BD-40,%,5,,,FALSE,976,976
Router CPU Usage - BD-40,%,3,,,FALSE,977,977
VMS Storage Utilization - BD-40,%,10,,,FALSE,978,978
Server Temperature - BD-40,Celsius,7,,,FALSE,979,979
Storage Latency - BD-40,ms,5,,,FALSE,980,980
Switch Port Error Rate - BD-40,Errors/sec,2,,,FALSE,981,981
Access Control Events - BD-40,Events/day,2,,,FALSE,982,982
Video Recorder Disk Health - BD-40,%,15,,,FALSE,983,983
UPS Battery Charge - BD-40,%,5,,,FALSE,984,984
ATS Transfer Count - BD-40,Transfers/month,30,,,FALSE,985,985
Cooling Supply Air Temperature - BD-40,Celsius,10,,,FALSE,986,986
Generator Fuel Level - BD-40,%,30,,,FALSE,987,987
Visitor Kiosk Uptime - BD-40,Hours,15,,,FALSE,988,988
Camera Uptime - BD-40,Hours,10,,,FALSE,989,989
Backhaul Signal Strength - BD-40,dBm,2,,,FALSE,990,990
Optical Link Loss - BD-40,dB,15,,,FALSE,991,991
Edge Switch Utilization - BD-40,%,3,,,FALSE,992,992
5G Sector Throughput - BD-40,Mbps,2,,,FALSE,993,993
Baseband CPU Load - BD-40,%,2,,,FALSE,994,994
RRU VSWR - BD-40,ratio,5,,,FALSE,995,995
Gateway Packet Count - BD-40,Packets/min,10,,,FALSE,996,996
Wireless Client Count - BD-40,Clients,5,,,FALSE,997,997
AP Channel Utilization - BD-40,%,5,,,FALSE,998,998
GPU Usage - BD-40,%,1,,,FALSE,999,999
Packet Capture Buffer Usage - BD-40,%,10,,,FALSE,1000,1000
