name,address,parent_location,vendors,contractors
Server Room B - HP-14,"198 Tôn Đức Thắng, Lê Chân, Hải Phòng, Vietnam",Infrastructure Site - HP-14,"Aruba, APC, Ericsson",
Network Closet - HP-14,"198 Tôn Đức Thắng, Lê Chân, Hải Phòng, Vietnam",Infrastructure Site - HP-14,"Vertiv, Ericsson, Hikvision",
Access Control Room - HP-14,"198 Tôn Đức Thắng, Lê Chân, Hải Phòng, Vietnam",Infrastructure Site - HP-14,"Cisco, NVIDIA, Corning",
Video Surveillance Room - HP-14,"198 Tôn Đức Thắng, Lê Chân, Hải Phòng, Vietnam",Infrastructure Site - HP-14,"Vertiv, Corning, Cisco",Danang Engineering Works
UPS Room - HP-14,"198 Tôn Đức Thắng, Lê Chân, Hải Phòng, Vietnam",Infrastructure Site - HP-14,"Fortinet, Schneider Electric, Aruba",
Electrical Room - HP-14,"198 Tôn Đức Thắng, Lê Chân, Hải Phòng, Vietnam",Infrastructure Site - HP-14,"Vertiv, NVIDIA, Fortinet",SaiGon MEP Solutions
HVAC Plant - HP-14,"198 Tôn Đức Thắng, Lê Chân, Hải Phòng, Vietnam",Infrastructure Site - HP-14,"APC, Nokia, Dell",Metro Cabling Partners
Generator Yard - HP-14,"198 Tôn Đức Thắng, Lê Chân, Hải Phòng, Vietnam",Infrastructure Site - HP-14,"Nokia, Corning, Fortinet",
Reception - HP-14,"198 Tôn Đức Thắng, Lê Chân, Hải Phòng, Vietnam",Infrastructure Site - HP-14,"APC, Schneider Electric, Nokia",
Loading Bay - HP-14,"198 Tôn Đức Thắng, Lê Chân, Hải Phòng, Vietnam",Infrastructure Site - HP-14,"Vertiv, Ericsson, Nokia",
Roof - HP-14,"198 Tôn Đức Thắng, Lê Chân, Hải Phòng, Vietnam",Infrastructure Site - HP-14,"Aruba, NVIDIA, Juniper",
IDF Room 1 - HP-14,"198 Tôn Đức Thắng, Lê Chân, Hải Phòng, Vietnam",Office Floor 1 - HP-14,"Corning, Aruba, Ericsson",
IDF Room 2 - HP-14,"198 Tôn Đức Thắng, Lê Chân, Hải Phòng, Vietnam",Office Floor 2 - HP-14,"Hikvision, Schneider Electric, Vertiv",
Telecom Mast - HP-14,"198 Tôn Đức Thắng, Lê Chân, Hải Phòng, Vietnam",Roof - HP-14,"Schneider Electric, APC, Vertiv",
Base Station - HP-14,"198 Tôn Đức Thắng, Lê Chân, Hải Phòng, Vietnam",Telecom Mast - HP-14,"NVIDIA, Juniper, APC",
Antenna Array - HP-14,"198 Tôn Đức Thắng, Lê Chân, Hải Phòng, Vietnam",Telecom Mast - HP-14,"Corning, Paxton, APC",
Storage Room - HP-14,"198 Tôn Đức Thắng, Lê Chân, Hải Phòng, Vietnam",Infrastructure Site - HP-14,"Corning, Vertiv, Juniper",SaiGon MEP Solutions
Office Floor 1 - HP-14,"198 Tôn Đức Thắng, Lê Chân, Hải Phòng, Vietnam",Infrastructure Site - HP-14,"Juniper, Schneider Electric, Fortinet",
Office Floor 2 - HP-14,"198 Tôn Đức Thắng, Lê Chân, Hải Phòng, Vietnam",Infrastructure Site - HP-14,"APC, Aruba, Dell",
Lab A - HP-14,"198 Tôn Đức Thắng, Lê Chân, Hải Phòng, Vietnam",Infrastructure Site - HP-14,"Nokia, Ericsson, Aruba",SaiGon MEP Solutions
Workshop - HP-14,"198 Tôn Đức Thắng, Lê Chân, Hải Phòng, Vietnam",Infrastructure Site - HP-14,"Schneider Electric, APC, Corning",
Infrastructure Site - CT-15,"205 30 Tháng 4, Ninh Kiều, Cần Thơ, Vietnam",,"Schneider Electric, NVIDIA, Cisco",
Network Operations Center (NOC) - CT-15,"205 30 Tháng 4, Ninh Kiều, Cần Thơ, Vietnam",Infrastructure Site - CT-15,"Nokia, Paxton, APC",Alpha Secure Systems
Security Operations Center (SOC) - CT-15,"205 30 Tháng 4, Ninh Kiều, Cần Thơ, Vietnam",Infrastructure Site - CT-15,"Dell, Corning, Vertiv",SaiGon MEP Solutions
Server Room A - CT-15,"205 30 Tháng 4, Ninh Kiều, Cần Thơ, Vietnam",Infrastructure Site - CT-15,"APC, Ericsson, Fortinet",Metro Cabling Partners
Server Room B - CT-15,"205 30 Tháng 4, Ninh Kiều, Cần Thơ, Vietnam",Infrastructure Site - CT-15,"Nokia, Hikvision, Schneider Electric",
Network Closet - CT-15,"205 30 Tháng 4, Ninh Kiều, Cần Thơ, Vietnam",Infrastructure Site - CT-15,"Aruba, Nokia, Fortinet",
Access Control Room - CT-15,"205 30 Tháng 4, Ninh Kiều, Cần Thơ, Vietnam",Infrastructure Site - CT-15,"Ericsson, Cisco, Nokia",
Video Surveillance Room - CT-15,"205 30 Tháng 4, Ninh Kiều, Cần Thơ, Vietnam",Infrastructure Site - CT-15,"Fortinet, NVIDIA, Paxton",Metro Cabling Partners
UPS Room - CT-15,"205 30 Tháng 4, Ninh Kiều, Cần Thơ, Vietnam",Infrastructure Site - CT-15,"NVIDIA, Aruba, Paxton",
Electrical Room - CT-15,"205 30 Tháng 4, Ninh Kiều, Cần Thơ, Vietnam",Infrastructure Site - CT-15,"APC, Cisco, Dell",
HVAC Plant - CT-15,"205 30 Tháng 4, Ninh Kiều, Cần Thơ, Vietnam",Infrastructure Site - CT-15,"Nokia, Corning, Schneider Electric",VN Facilities Services
Generator Yard - CT-15,"205 30 Tháng 4, Ninh Kiều, Cần Thơ, Vietnam",Infrastructure Site - CT-15,"Juniper, NVIDIA, Ericsson",Mekong Telecom Services
Reception - CT-15,"205 30 Tháng 4, Ninh Kiều, Cần Thơ, Vietnam",Infrastructure Site - CT-15,"Vertiv, APC, Dell",
Loading Bay - CT-15,"205 30 Tháng 4, Ninh Kiều, Cần Thơ, Vietnam",Infrastructure Site - CT-15,"NVIDIA, APC, Nokia",
Roof - CT-15,"205 30 Tháng 4, Ninh Kiều, Cần Thơ, Vietnam",Infrastructure Site - CT-15,"Cisco, Dell, Aruba",
IDF Room 1 - CT-15,"205 30 Tháng 4, Ninh Kiều, Cần Thơ, Vietnam",Office Floor 1 - CT-15,"Cisco, Corning, Juniper",Mekong Telecom Services
IDF Room 2 - CT-15,"205 30 Tháng 4, Ninh Kiều, Cần Thơ, Vietnam",Office Floor 2 - CT-15,"Vertiv, Nokia, Fortinet",
Telecom Mast - CT-15,"205 30 Tháng 4, Ninh Kiều, Cần Thơ, Vietnam",Roof - CT-15,"Hikvision, Aruba, Ericsson",Mekong Telecom Services
Base Station - CT-15,"205 30 Tháng 4, Ninh Kiều, Cần Thơ, Vietnam",Telecom Mast - CT-15,"Juniper, Paxton, Corning",
Antenna Array - CT-15,"205 30 Tháng 4, Ninh Kiều, Cần Thơ, Vietnam",Telecom Mast - CT-15,"Vertiv, Ericsson, Corning",Alpha Secure Systems
Storage Room - CT-15,"205 30 Tháng 4, Ninh Kiều, Cần Thơ, Vietnam",Infrastructure Site - CT-15,"Schneider Electric, Nokia, Cisco",Metro Cabling Partners
Office Floor 1 - CT-15,"205 30 Tháng 4, Ninh Kiều, Cần Thơ, Vietnam",Infrastructure Site - CT-15,"Hikvision, Aruba, Dell",
Office Floor 2 - CT-15,"205 30 Tháng 4, Ninh Kiều, Cần Thơ, Vietnam",Infrastructure Site - CT-15,"Paxton, APC, Juniper",Mekong Telecom Services
Lab A - CT-15,"205 30 Tháng 4, Ninh Kiều, Cần Thơ, Vietnam",Infrastructure Site - CT-15,"Dell, Fortinet, Schneider Electric",
Workshop - CT-15,"205 30 Tháng 4, Ninh Kiều, Cần Thơ, Vietnam",Infrastructure Site - CT-15,"Hikvision, Ericsson, Aruba",
Infrastructure Site - BD-16,"212 Hữu Nghị, Thuận An, Bình Dương, Vietnam",,"Aruba, APC, Juniper",
Network Operations Center (NOC) - BD-16,"212 Hữu Nghị, Thuận An, Bình Dương, Vietnam",Infrastructure Site - BD-16,"NVIDIA, Cisco, Schneider Electric",SaiGon MEP Solutions
Security Operations Center (SOC) - BD-16,"212 Hữu Nghị, Thuận An, Bình Dương, Vietnam",Infrastructure Site - BD-16,"Fortinet, APC, Nokia",
Server Room A - BD-16,"212 Hữu Nghị, Thuận An, Bình Dương, Vietnam",Infrastructure Site - BD-16,"Schneider Electric, NVIDIA, Corning",
Server Room B - BD-16,"212 Hữu Nghị, Thuận An, Bình Dương, Vietnam",Infrastructure Site - BD-16,"Juniper, Schneider Electric, Cisco",
Network Closet - BD-16,"212 Hữu Nghị, Thuận An, Bình Dương, Vietnam",Infrastructure Site - BD-16,"Dell, Aruba, Nokia",
Access Control Room - BD-16,"212 Hữu Nghị, Thuận An, Bình Dương, Vietnam",Infrastructure Site - BD-16,"NVIDIA, APC, Juniper",
Video Surveillance Room - BD-16,"212 Hữu Nghị, Thuận An, Bình Dương, Vietnam",Infrastructure Site - BD-16,"Juniper, Hikvision, Schneider Electric",
UPS Room - BD-16,"212 Hữu Nghị, Thuận An, Bình Dương, Vietnam",Infrastructure Site - BD-16,"Ericsson, Juniper, Schneider Electric",
Electrical Room - BD-16,"212 Hữu Nghị, Thuận An, Bình Dương, Vietnam",Infrastructure Site - BD-16,"NVIDIA, APC, Hikvision",HaNoi Cooling Services
HVAC Plant - BD-16,"212 Hữu Nghị, Thuận An, Bình Dương, Vietnam",Infrastructure Site - BD-16,"Juniper, Ericsson, Corning",Alpha Secure Systems
Generator Yard - BD-16,"212 Hữu Nghị, Thuận An, Bình Dương, Vietnam",Infrastructure Site - BD-16,"Aruba, APC, Fortinet",
Reception - BD-16,"212 Hữu Nghị, Thuận An, Bình Dương, Vietnam",Infrastructure Site - BD-16,"Fortinet, Corning, Dell",HaNoi Cooling Services
Loading Bay - BD-16,"212 Hữu Nghị, Thuận An, Bình Dương, Vietnam",Infrastructure Site - BD-16,"Paxton, Hikvision, Dell",
Roof - BD-16,"212 Hữu Nghị, Thuận An, Bình Dương, Vietnam",Infrastructure Site - BD-16,"Aruba, Fortinet, Corning",Danang Engineering Works
IDF Room 1 - BD-16,"212 Hữu Nghị, Thuận An, Bình Dương, Vietnam",Office Floor 1 - BD-16,"Vertiv, Aruba, Nokia",
IDF Room 2 - BD-16,"212 Hữu Nghị, Thuận An, Bình Dương, Vietnam",Office Floor 2 - BD-16,"Vertiv, Corning, Nokia",
Telecom Mast - BD-16,"212 Hữu Nghị, Thuận An, Bình Dương, Vietnam",Roof - BD-16,"Nokia, APC, Corning",Danang Engineering Works
Base Station - BD-16,"212 Hữu Nghị, Thuận An, Bình Dương, Vietnam",Telecom Mast - BD-16,"Juniper, Vertiv, Aruba",
Antenna Array - BD-16,"212 Hữu Nghị, Thuận An, Bình Dương, Vietnam",Telecom Mast - BD-16,"Aruba, Paxton, Nokia",SaiGon MEP Solutions
Storage Room - BD-16,"212 Hữu Nghị, Thuận An, Bình Dương, Vietnam",Infrastructure Site - BD-16,"Paxton, Vertiv, Aruba",Red River Power Co.
Office Floor 1 - BD-16,"212 Hữu Nghị, Thuận An, Bình Dương, Vietnam",Infrastructure Site - BD-16,"Fortinet, Paxton, Juniper",
Office Floor 2 - BD-16,"212 Hữu Nghị, Thuận An, Bình Dương, Vietnam",Infrastructure Site - BD-16,"Fortinet, Juniper, Nokia",
Lab A - BD-16,"212 Hữu Nghị, Thuận An, Bình Dương, Vietnam",Infrastructure Site - BD-16,"Schneider Electric, Vertiv, Nokia",
Workshop - BD-16,"212 Hữu Nghị, Thuận An, Bình Dương, Vietnam",Infrastructure Site - BD-16,"Aruba, NVIDIA, Cisco",
Infrastructure Site - HN-17,"219 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",,"Aruba, Nokia, Corning",Danang Engineering Works
Network Operations Center (NOC) - HN-17,"219 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-17,"Ericsson, Dell, Cisco",
Security Operations Center (SOC) - HN-17,"219 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-17,"Aruba, APC, NVIDIA",HaNoi Cooling Services
Server Room A - HN-17,"219 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-17,"Cisco, Hikvision, NVIDIA",
Server Room B - HN-17,"219 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-17,"Vertiv, Ericsson, Aruba",
Network Closet - HN-17,"219 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-17,"APC, Fortinet, Paxton",
Access Control Room - HN-17,"219 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-17,"Aruba, APC, Corning",
Video Surveillance Room - HN-17,"219 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-17,"Aruba, Corning, Fortinet",Red River Power Co.
UPS Room - HN-17,"219 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-17,"Juniper, Ericsson, Corning",
Electrical Room - HN-17,"219 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-17,"Paxton, NVIDIA, Corning",
HVAC Plant - HN-17,"219 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-17,"Nokia, Dell, APC",HaNoi Cooling Services
Generator Yard - HN-17,"219 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-17,"APC, Paxton, Corning",
Reception - HN-17,"219 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-17,"Schneider Electric, Dell, Nokia",
Loading Bay - HN-17,"219 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-17,"Juniper, Paxton, Ericsson",
Roof - HN-17,"219 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-17,"Aruba, APC, Dell",
IDF Room 1 - HN-17,"219 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Office Floor 1 - HN-17,"Fortinet, NVIDIA, Corning",
IDF Room 2 - HN-17,"219 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Office Floor 2 - HN-17,"Juniper, Corning, Aruba",
Telecom Mast - HN-17,"219 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Roof - HN-17,"APC, Cisco, Fortinet",Alpha Secure Systems
Base Station - HN-17,"219 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Telecom Mast - HN-17,"APC, Aruba, Vertiv",HaNoi Cooling Services
Antenna Array - HN-17,"219 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Telecom Mast - HN-17,"Dell, Juniper, Paxton",
Storage Room - HN-17,"219 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-17,"Juniper, Ericsson, Aruba",
Office Floor 1 - HN-17,"219 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-17,"Ericsson, Cisco, Corning",HaNoi Cooling Services
Office Floor 2 - HN-17,"219 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-17,"Nokia, Schneider Electric, Dell",HaNoi Cooling Services
Lab A - HN-17,"219 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-17,"NVIDIA, Vertiv, Cisco",
Workshop - HN-17,"219 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-17,"Corning, NVIDIA, Hikvision",
Infrastructure Site - HN-18,"226 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",,"Nokia, Paxton, NVIDIA",
Network Operations Center (NOC) - HN-18,"226 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-18,"Hikvision, Ericsson, Fortinet",Danang Engineering Works
Security Operations Center (SOC) - HN-18,"226 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-18,"Fortinet, Hikvision, APC",
Server Room A - HN-18,"226 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-18,"Nokia, Vertiv, Aruba",
Server Room B - HN-18,"226 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-18,"Aruba, Schneider Electric, Ericsson",
Network Closet - HN-18,"226 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-18,"Dell, Hikvision, Nokia",Metro Cabling Partners
Access Control Room - HN-18,"226 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-18,"Cisco, Corning, Vertiv",
Video Surveillance Room - HN-18,"226 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-18,"Ericsson, Juniper, NVIDIA",
UPS Room - HN-18,"226 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-18,"Fortinet, Juniper, Paxton",HaNoi Cooling Services
Electrical Room - HN-18,"226 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-18,"Paxton, Vertiv, Ericsson",Mekong Telecom Services
HVAC Plant - HN-18,"226 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-18,"Juniper, Hikvision, Vertiv",
Generator Yard - HN-18,"226 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-18,"Cisco, Schneider Electric, Fortinet",
Reception - HN-18,"226 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-18,"APC, Hikvision, Schneider Electric",
Loading Bay - HN-18,"226 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-18,"APC, Hikvision, Cisco",SaiGon MEP Solutions
Roof - HN-18,"226 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-18,"Fortinet, NVIDIA, Corning",HaNoi Cooling Services
IDF Room 1 - HN-18,"226 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Office Floor 1 - HN-18,"Dell, Cisco, Paxton",
IDF Room 2 - HN-18,"226 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Office Floor 2 - HN-18,"Vertiv, NVIDIA, Dell",
Telecom Mast - HN-18,"226 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Roof - HN-18,"Vertiv, Fortinet, Nokia",SaiGon MEP Solutions
Base Station - HN-18,"226 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Telecom Mast - HN-18,"Cisco, Paxton, Hikvision",
Antenna Array - HN-18,"226 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Telecom Mast - HN-18,"Ericsson, NVIDIA, Nokia",
Storage Room - HN-18,"226 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-18,"Juniper, Aruba, Paxton",SaiGon MEP Solutions
Office Floor 1 - HN-18,"226 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-18,"Cisco, Hikvision, Schneider Electric",
Office Floor 2 - HN-18,"226 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-18,"Nokia, Vertiv, Juniper",Danang Engineering Works
Lab A - HN-18,"226 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-18,"Nokia, Ericsson, Cisco",
Workshop - HN-18,"226 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-18,"Nokia, Hikvision, NVIDIA",Mekong Telecom Services
Infrastructure Site - HCM-19,"233 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",,"Cisco, Nokia, APC",Mekong Telecom Services
Network Operations Center (NOC) - HCM-19,"233 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-19,"Dell, Corning, Aruba",Red River Power Co.
Security Operations Center (SOC) - HCM-19,"233 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-19,"Juniper, Ericsson, Aruba",
Server Room A - HCM-19,"233 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-19,"Ericsson, Fortinet, Cisco",
Server Room B - HCM-19,"233 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-19,"Vertiv, Cisco, Corning",
Network Closet - HCM-19,"233 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-19,"APC, Paxton, NVIDIA",SaiGon MEP Solutions
Access Control Room - HCM-19,"233 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-19,"APC, Hikvision, NVIDIA",
Video Surveillance Room - HCM-19,"233 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-19,"Juniper, Aruba, Nokia",
UPS Room - HCM-19,"233 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-19,"APC, Dell, Cisco",
Electrical Room - HCM-19,"233 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-19,"APC, Corning, Dell",
HVAC Plant - HCM-19,"233 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-19,"Corning, Vertiv, NVIDIA",
Generator Yard - HCM-19,"233 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-19,"Dell, Aruba, Fortinet",Danang Engineering Works
Reception - HCM-19,"233 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-19,"Cisco, Paxton, Hikvision",Alpha Secure Systems
Loading Bay - HCM-19,"233 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-19,"Cisco, APC, Paxton",
Roof - HCM-19,"233 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-19,"Fortinet, Ericsson, Vertiv",Alpha Secure Systems
IDF Room 1 - HCM-19,"233 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Office Floor 1 - HCM-19,"Paxton, APC, Cisco",
IDF Room 2 - HCM-19,"233 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Office Floor 2 - HCM-19,"APC, Paxton, Juniper",
Telecom Mast - HCM-19,"233 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Roof - HCM-19,"Schneider Electric, Fortinet, NVIDIA",
Base Station - HCM-19,"233 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Telecom Mast - HCM-19,"Schneider Electric, APC, Dell",
Antenna Array - HCM-19,"233 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Telecom Mast - HCM-19,"Vertiv, APC, Ericsson",SaiGon MEP Solutions
Storage Room - HCM-19,"233 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-19,"NVIDIA, Schneider Electric, Juniper",
Office Floor 1 - HCM-19,"233 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-19,"Fortinet, Dell, Ericsson",SaiGon MEP Solutions
Office Floor 2 - HCM-19,"233 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-19,"Juniper, APC, Corning",Danang Engineering Works
Lab A - HCM-19,"233 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-19,"Nokia, NVIDIA, Schneider Electric",Danang Engineering Works
Workshop - HCM-19,"233 Nguyễn Văn Linh, Quận 7, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-19,"APC, Vertiv, Cisco",
Infrastructure Site - HCM-20,"240 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",,"APC, Nokia, Schneider Electric",VN Facilities Services
Network Operations Center (NOC) - HCM-20,"240 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-20,"Juniper, Corning, Aruba",
Security Operations Center (SOC) - HCM-20,"240 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-20,"Ericsson, Aruba, NVIDIA",
Server Room A - HCM-20,"240 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-20,"Cisco, Dell, Nokia",
Server Room B - HCM-20,"240 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-20,"Vertiv, Cisco, Dell",Red River Power Co.
Network Closet - HCM-20,"240 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-20,"APC, Schneider Electric, Nokia",HaNoi Cooling Services
Access Control Room - HCM-20,"240 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-20,"Corning, Vertiv, APC",
Video Surveillance Room - HCM-20,"240 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-20,"Aruba, Juniper, Nokia",Red River Power Co.
UPS Room - HCM-20,"240 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-20,"Schneider Electric, APC, Corning",SaiGon MEP Solutions
Electrical Room - HCM-20,"240 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-20,"Cisco, NVIDIA, Dell",
HVAC Plant - HCM-20,"240 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-20,"Schneider Electric, Ericsson, Juniper",Metro Cabling Partners
Generator Yard - HCM-20,"240 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-20,"NVIDIA, Vertiv, Hikvision",
Reception - HCM-20,"240 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-20,"Paxton, NVIDIA, Vertiv",HaNoi Cooling Services
Loading Bay - HCM-20,"240 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-20,"Fortinet, Juniper, Vertiv",Danang Engineering Works
Roof - HCM-20,"240 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Infrastructure Site - HCM-20,"Juniper, Aruba, Corning",
IDF Room 1 - HCM-20,"240 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Office Floor 1 - HCM-20,"APC, Corning, Fortinet",
IDF Room 2 - HCM-20,"240 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Office Floor 2 - HCM-20,"Ericsson, Fortinet, Paxton",
Telecom Mast - HCM-20,"240 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Roof - HCM-20,"Fortinet, Dell, NVIDIA",
Base Station - HCM-20,"240 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Telecom Mast - HCM-20,"NVIDIA, Corning, Dell",
Antenna Array - HCM-20,"240 Xa Lộ Hà Nội, Thủ Đức, TP. Hồ Chí Minh, Vietnam",Telecom Mast - HCM-20,"Ericsson, Hikvision, Juniper",
